lat,lon,pgv,lnpgv_uncertainty
47.8,5.9,2.132e-05,0.4988
47.8,5.9083,2.146e-05,0.4988
47.8,5.9167,2.16e-05,0.4988
47.8,5.925,2.174e-05,0.4988
47.8,5.9333,2.188e-05,0.4988
47.8,5.9417,2.202e-05,0.4988
47.8,5.95,2.216e-05,0.4988
47.8,5.9583,2.23e-05,0.4988
47.8,5.9667,2.245e-05,0.4988
47.8,5.975,2.26e-05,0.4988
47.8,5.9833,2.275e-05,0.4988
47.8,5.9917,2.29e-05,0.4988
47.8,6,2.305e-05,0.4988
47.8,6.0083,2.32e-05,0.4988
47.8,6.0167,2.335e-05,0.4988
47.8,6.025,2.351e-05,0.4988
47.8,6.0333,2.367e-05,0.4988
47.8,6.0417,2.382e-05,0.4988
47.8,6.05,2.398e-05,0.4988
47.8,6.0583,2.415e-05,0.4988
47.8,6.0667,3.633e-05,0.4988
47.8,6.075,3.657e-05,0.4988
47.8,6.0833,3.102e-05,0.4988
47.8,6.0917,3.123e-05,0.4988
47.8,6.1,3.959e-05,0.4988
47.8,6.1083,3.986e-05,0.4988
47.8,6.1167,3.784e-05,0.4988
47.8,6.125,3.811e-05,0.4988
47.8,6.1333,4.069e-05,0.4988
47.8,6.1417,4.098e-05,0.4988
47.8,6.15,3.278e-05,0.4988
47.8,6.1583,3.301e-05,0.4988
47.8,6.1667,5.452e-05,0.4988
47.8,6.175,5.49e-05,0.4988
47.8,6.1833,5.529e-05,0.4988
47.8,6.1917,5.569e-05,0.4988
47.8,6.2,2.716e-05,0.4988
47.8,6.2083,2.736e-05,0.4988
47.8,6.2167,2.755e-05,0.4988
47.8,6.225,2.775e-05,0.4988
47.8,6.2333,2.795e-05,0.4988
47.8,6.2417,2.816e-05,0.4988
47.8,6.25,5.857e-05,0.4988
47.8,6.2583,5.9e-05,0.4988
47.8,6.2667,5.943e-05,0.4988
47.8,6.275,5.987e-05,0.4988
47.8,6.2833,4.63e-05,0.4988
47.8,6.2917,4.664e-05,0.4988
47.8,6.3,4.563e-05,0.4988
47.8,6.3083,4.597e-05,0.4988
47.8,6.3167,4.77e-05,0.4988
47.8,6.325,4.806e-05,0.4988
47.8,6.3333,4.843e-05,0.4988
47.8,6.3417,4.88e-05,0.4988
47.8,6.35,4.918e-05,0.4988
47.8,6.3583,4.956e-05,0.4988
47.8,6.3667,4.994e-05,0.4988
47.8,6.375,5.033e-05,0.4988
47.8,6.3833,5.073e-05,0.4988
47.8,6.3917,5.113e-05,0.4988
47.8,6.4,5.153e-05,0.4988
47.8,6.4083,5.194e-05,0.4988
47.8,6.4167,5.236e-05,0.4988
47.8,6.425,5.278e-05,0.4987
47.8,6.4333,5.32e-05,0.4987
47.8,6.4417,5.364e-05,0.4987
47.8,6.45,3.412e-05,0.4987
47.8,6.4583,3.44e-05,0.4987
47.8,6.4667,3.468e-05,0.4987
47.8,6.475,3.497e-05,0.4987
